Scotland's Census 2022 - National Records of Scotland
Table UV202 - National Identity
All people

,"All people","Scottish identity only","British identity only","Scottish and British identities only","Scottish and any other identities","English identity only","Any other combination of UK identities (UK only)","Other identity only (1)","Other identity and at least one UK identity"
"S00135885",80,49,5,6,2,1,1,17,-
"S00135886",86,56,7,8,6,1,4,6,-
"S00135887",65,25,12,5,5,1,-,15,-
"S00135888",106,49,10,1,6,-,2,39,2
"S00135889",75,27,16,9,5,5,2,8,3
"S00135890",91,75,5,5,-,-,-,5,-
"S00135891",82,66,4,7,-,-,-,5,-
"S00135892",116,71,4,24,4,-,1,7,3
"S00135893",110,42,17,9,4,3,4,25,1
"S00135894",114,86,13,1,2,-,1,6,-
"S00135895",164,77,15,7,7,1,-,57,1
"S00135896",148,80,15,7,3,-,-,43,-
"S00135897",147,83,14,3,5,2,-,40,1
"S00135898",115,84,3,3,5,-,-,16,1
"S00135899",94,32,10,20,2,5,-,21,4
"S00135900",123,67,8,4,3,3,3,35,-
"S00135901",109,80,6,7,2,-,2,14,-
"S00135902",89,64,5,1,2,2,-,11,-
"S00135903",117,55,9,8,3,-,-,42,-
"S00135904",77,47,7,6,1,-,-,14,-
"S00135905",78,75,3,7,-,1,-,-,-
"S00135906",64,44,6,7,3,-,-,3,-
"S00135907",97,50,10,8,3,4,7,14,4
"S00135908",109,77,9,5,-,3,-,12,1
"S00135909",70,57,2,2,2,1,-,4,-
"S00135910",74,55,4,3,-,-,-,11,-
"S00135911",121,75,10,4,10,2,-,24,-
"S00135912",120,40,28,14,2,4,3,28,3
"S00135913",127,43,20,8,5,-,1,51,1
"S00135914",121,49,16,18,7,2,2,29,1
"S00135915",131,78,15,10,1,6,4,15,-
"S00135916",103,30,16,1,10,3,5,32,5
"S00135917",147,118,5,5,1,1,-,17,-
"S00135918",120,90,-,3,9,-,-,15,1
"S00135919",89,50,9,10,-,-,-,17,-
"S00135920",126,105,5,10,3,1,-,4,1
"S00135921",121,82,14,4,-,1,1,19,-
"S00135922",135,63,22,24,1,2,2,15,4
"S00135923",209,90,10,6,9,6,3,82,2
"S00135924",99,73,5,4,1,-,-,10,4
"S00135925",81,56,10,4,4,-,-,6,-
"S00135926",97,70,9,5,-,-,-,10,-
"S00135927",126,60,30,15,3,-,2,18,-
"S00135928",86,26,16,-,7,4,4,37,-
"S00135929",64,41,8,5,-,-,-,4,3
"S00135930",140,94,23,13,6,1,-,5,-
"S00135931",120,94,13,7,-,4,-,2,-
"S00135932",103,67,12,12,-,3,-,9,-
"S00135933",131,69,15,19,4,2,3,13,-
"S00135934",121,44,21,7,6,3,-,39,3
"S00135935",102,64,18,11,-,1,2,6,1
"S00135936",118,46,3,6,7,1,-,54,-
"S00135937",122,64,25,8,7,-,5,11,1
"S00135938",117,85,9,5,6,1,-,9,-
"S00135939",73,42,7,2,1,1,-,20,3
"S00135940",94,74,6,2,-,1,1,5,1
"S00135941",120,39,13,9,4,7,-,47,1
"S00135942",142,91,20,14,1,2,1,13,-
"S00135943",119,59,30,8,7,2,2,10,1
"S00135944",170,140,3,14,5,-,-,8,-
"S00135945",79,32,12,8,2,2,3,20,2
"S00135946",173,112,21,13,5,5,-,8,-
"S00135947",128,73,14,8,7,-,4,19,4
"S00135948",134,63,27,-,8,3,1,33,3
"S00135949",174,101,31,17,2,2,-,17,1
"S00135950",77,58,3,-,4,-,-,13,-
"S00135951",135,59,11,16,4,1,5,36,1
"S00135952",78,24,17,11,3,-,2,21,-
"S00135953",117,48,28,9,4,2,2,18,-
"S00135954",151,78,31,12,4,2,3,18,-
"S00135955",134,100,11,13,-,-,1,9,-
"S00135956",115,75,11,14,-,5,2,11,-
"S00135957",110,46,11,5,4,2,1,39,3
"S00135958",81,60,3,7,-,2,-,9,-
"S00135959",131,96,14,14,-,-,1,8,-
"S00135960",165,110,29,13,1,7,1,6,-
"S00135961",177,123,12,8,7,2,-,20,-
"S00135962",100,42,21,5,2,2,-,28,-
"S00135963",192,102,40,33,4,-,4,10,2
"S00135964",114,38,23,14,10,2,5,27,1
"S00135965",103,37,15,2,1,2,5,36,-
"S00135966",86,64,4,7,2,3,2,5,-
"S00135967",106,54,18,12,6,3,-,12,1
"S00135968",158,119,18,8,-,1,1,8,3
"S00135969",79,36,3,5,-,2,-,29,3
"S00135970",102,72,15,5,1,2,1,8,-
"S00135971",117,57,14,9,2,4,2,31,1
"S00135972",94,58,8,5,3,1,5,17,-
"S00135973",120,65,6,26,5,-,-,16,-
"S00135974",96,66,7,5,2,-,-,16,2
"S00135975",82,56,13,3,2,-,-,6,-
"S00135976",112,65,15,6,1,4,-,22,-
"S00135977",78,64,1,5,1,1,1,-,-
"S00135978",117,47,9,10,6,2,-,39,5
"S00135979",89,77,8,-,-,-,-,-,1
"S00135980",106,63,15,6,5,-,-,14,1
"S00135981",156,56,26,47,3,9,3,10,2
"S00135982",82,41,14,4,3,-,-,20,-
"S00135983",116,57,15,15,5,1,6,14,1
"S00135984",117,79,13,8,1,2,-,13,2
"S00135985",119,52,18,10,1,1,-,33,-
"S00135986",126,97,21,6,-,-,1,2,-
"S00135987",77,39,8,7,4,1,2,15,4
"S00135988",69,29,25,4,1,1,2,8,-
"S00135989",95,62,10,4,2,3,-,14,-
"S00135990",69,34,10,17,-,-,-,7,-
"S00135991",71,31,8,6,-,6,-,15,1
"S00135992",99,84,6,5,-,-,-,-,-
"S00135993",107,70,18,5,1,4,1,8,-
"S00135994",175,88,34,23,4,4,1,18,3
"S00135995",65,27,9,6,5,7,2,9,-
"S00135996",176,112,16,31,3,2,2,8,-
"S00135997",118,84,17,9,-,1,-,6,-
"S00135998",93,35,8,10,2,2,3,37,-
"S00135999",99,42,8,9,4,2,-,33,-
"S00136000",131,79,9,18,2,6,4,13,-
"S00136001",75,39,11,8,2,-,-,13,-
"S00136002",108,67,7,6,3,1,-,24,-
"S00136003",70,16,4,3,12,3,1,30,1
"S00136004",76,52,4,2,1,-,-,17,-
"S00136005",146,123,9,2,-,2,3,8,-
"S00136006",66,31,7,10,1,-,-,17,-
"S00136007",168,101,21,5,10,1,-,31,-
"S00136008",78,35,5,7,1,-,2,28,1
"S00136009",113,84,9,6,-,1,1,13,1
"S00136010",131,86,19,9,5,4,-,7,-
"S00136011",126,84,9,12,5,3,-,17,-
"S00136012",110,73,9,7,2,3,2,16,-
"S00136013",88,31,14,5,4,5,1,27,1
"S00136014",121,56,15,3,8,1,4,37,3
"S00136015",113,71,5,4,7,4,-,20,1
"S00136016",114,35,5,9,2,4,4,58,1
"S00136017",153,71,14,16,4,4,4,36,1
"S00136018",154,47,16,13,4,8,6,59,1
"S00136019",871,421,62,40,37,39,3,261,8
"S00136020",134,97,14,15,-,-,-,8,-
"S00136021",66,21,7,5,7,1,1,23,-
"S00136022",133,92,12,5,1,-,1,20,-
"S00136023",65,55,9,-,-,-,-,-,-
"S00136024",88,55,12,7,2,1,-,11,-
"S00136025",115,103,2,-,-,-,1,8,-
"S00136026",139,76,11,17,11,2,-,23,-
"S00136027",71,32,6,5,-,3,-,20,-
"S00136028",62,38,9,6,4,4,-,5,1
"S00136029",92,58,21,7,-,1,2,4,-
"S00136030",143,83,22,21,6,4,2,10,1
"S00136031",118,66,7,2,3,3,-,36,-
"S00136032",108,52,11,5,10,2,3,32,-
"S00136033",145,56,29,17,1,1,1,36,-
"S00136034",108,46,14,4,1,2,1,39,-
"S00136035",129,42,20,13,6,4,2,42,-
"S00136036",109,55,12,6,4,5,2,20,2
"S00136037",99,45,8,8,4,1,-,33,-
"S00136038",81,68,3,4,2,-,-,4,-
"S00136039",85,37,9,11,6,3,2,19,-
"S00136040",84,73,-,1,-,2,-,8,-
"S00136041",146,102,15,6,2,3,2,17,-
"S00136042",113,75,13,8,1,-,-,9,-
"S00136043",91,58,7,5,1,-,1,17,-
"S00136044",63,35,9,4,4,-,-,11,-
"S00136045",146,112,5,15,1,-,-,10,-
"S00136046",90,59,12,6,2,2,1,10,2
"S00136047",131,70,16,3,3,-,-,33,6
"S00136048",107,67,13,9,-,-,-,13,-
"S00136049",148,46,28,28,9,5,1,30,-
"S00136050",143,52,45,28,4,5,3,10,1
"S00136051",111,77,12,7,4,-,-,15,-
"S00136052",64,31,17,4,-,1,-,14,-
"S00136053",94,61,10,-,2,4,1,17,-
"S00136054",118,75,12,8,-,2,1,18,-
"S00136055",127,84,13,5,5,2,-,18,-
"S00136056",94,53,11,14,4,3,-,10,-
"S00136057",130,81,26,9,-,1,1,9,1
"S00136058",249,135,25,6,6,10,-,60,6
"S00136059",91,73,7,5,4,-,-,4,-
"S00136060",100,50,7,6,-,2,3,29,2
"S00136061",405,171,37,20,9,13,5,143,5
"S00136062",90,54,17,6,-,-,-,15,-
"S00136063",101,61,11,8,2,-,-,18,-
"S00136064",142,72,19,11,4,1,1,33,1
"S00136065",102,55,13,4,4,4,-,25,-
"S00136066",58,37,8,5,2,1,-,9,-
"S00136067",64,34,10,12,3,1,-,12,-
"S00136068",123,41,11,10,5,6,1,46,1
"S00136069",135,91,13,5,-,-,-,25,1
"S00136070",76,38,12,9,-,5,2,10,-
"S00136071",204,80,18,8,8,2,-,86,-
"S00136072",78,25,7,7,6,4,1,27,-
"S00136073",105,55,6,5,4,2,3,25,-
"S00136074",96,39,2,7,3,3,-,38,-
"S00136075",101,41,12,1,4,1,2,39,-
"S00136076",124,47,10,9,6,1,2,45,3
"S00136077",98,57,10,5,4,1,-,19,2
"S00136078",204,121,42,22,1,-,2,15,6
"S00136079",63,30,7,1,-,2,2,19,-
"S00136080",140,93,17,12,4,3,-,10,-
"S00136081",80,36,8,3,6,2,1,27,-
"S00136082",73,45,7,2,4,-,-,17,-
"S00136083",105,47,13,13,2,3,4,21,1
"S00136084",97,90,5,2,-,-,-,3,-
"S00136085",88,67,9,4,3,-,-,6,-
"S00136086",90,36,11,6,6,2,4,26,-
"S00136087",98,53,21,5,2,2,1,15,-
"S00136088",84,36,7,6,4,-,2,29,2
"S00136089",155,81,36,27,8,2,1,5,1
"S00136090",106,57,27,8,-,-,-,7,6
"S00136091",138,108,9,3,2,-,-,14,-
"S00136092",173,138,10,5,4,4,-,8,1
"S00136093",118,64,4,4,3,1,-,39,-
"S00136094",89,32,18,4,13,5,-,22,-
"S00136095",62,46,10,-,2,1,-,-,3
"S00136096",153,62,27,15,5,1,3,31,5
"S00136097",158,67,5,9,10,1,3,58,-
"S00136098",94,67,6,4,5,-,4,10,-
"S00136099",147,112,10,6,2,2,-,11,1
"S00136100",195,91,7,28,14,4,3,38,6
"S00136101",102,70,14,7,1,2,1,10,-
"S00136102",109,48,5,8,10,2,-,36,-
"S00136103",92,64,7,2,4,1,2,13,-
"S00136104",102,64,5,-,1,3,2,29,1
"S00136105",149,61,10,11,11,6,-,47,3
"S00136106",110,50,4,1,7,1,2,39,4
"S00136107",125,46,17,18,1,3,6,36,-
"S00136108",154,89,28,14,2,5,1,8,-
"S00136109",113,81,8,6,4,1,1,9,-
"S00136110",85,40,16,15,3,-,3,8,-
"S00136111",115,47,8,15,-,1,3,35,2
"S00136112",139,102,15,3,1,2,1,14,2
"S00136113",85,64,7,8,2,-,1,2,1
"S00136114",159,61,8,7,11,6,4,55,-
"S00136115",129,39,10,8,5,6,5,57,-
"S00136116",87,39,9,9,2,2,-,26,-
"S00136117",100,52,7,5,3,1,2,29,2
"S00136118",84,55,16,7,-,-,-,1,-
"S00136119",86,67,6,7,2,-,-,4,-
"S00136120",90,69,5,4,4,-,-,8,-
"S00136121",126,82,14,11,5,1,-,16,-
"S00136122",121,51,13,-,4,2,4,47,-
"S00136123",155,76,24,23,9,2,-,16,1
"S00136124",82,61,8,3,3,1,-,5,1
"S00136125",102,88,5,2,-,-,-,4,-
"S00136126",88,75,3,4,-,4,-,4,-
"S00136127",145,114,12,5,2,2,1,8,2
"S00136128",70,27,5,1,7,1,2,28,-
"S00136129",103,58,18,5,4,1,2,15,-
"S00136130",74,57,2,7,1,-,-,6,-
"S00136131",81,45,7,6,3,2,3,16,-
"S00136132",84,71,4,5,-,1,1,2,-
"S00136133",117,66,21,10,8,2,-,11,2
"S00136134",92,79,5,5,-,-,1,1,-
"S00136135",83,39,8,6,6,2,1,19,-
"S00136136",74,54,13,2,-,-,1,5,-
"S00136137",97,59,6,8,6,1,-,17,-
"S00136138",83,76,3,5,-,2,-,-,-
"S00136139",82,71,3,11,-,-,-,-,-
"S00136140",121,94,17,3,2,-,-,4,-
"S00136141",71,33,10,5,6,-,-,15,2
"S00136142",120,40,9,7,7,3,1,52,1
"S00136143",67,26,10,10,2,-,1,12,5
"S00136144",141,78,26,16,4,1,1,12,2
"S00136145",293,104,27,13,9,6,3,129,3
"S00136146",112,45,17,10,2,-,-,35,-
"S00136147",69,42,2,7,6,3,1,8,-
"S00136148",97,72,4,8,-,-,-,11,2
"S00136149",80,64,4,2,2,1,2,4,-
"S00136150",113,44,28,6,1,1,4,25,2
"S00136151",74,52,11,2,2,2,-,5,-
"S00136152",84,59,17,5,-,1,-,4,-
"S00136153",76,40,9,5,3,-,6,15,-
"S00136154",116,38,11,11,5,3,5,41,1
"S00136155",117,61,36,15,2,-,2,1,-
"S00136156",123,59,28,7,13,-,1,12,3
"S00136157",60,28,11,3,5,1,-,8,1
"S00136158",133,98,8,11,1,4,-,11,2
"S00136159",90,70,7,2,-,-,1,9,-
"S00136160",77,65,4,1,1,1,1,4,-
"S00136161",107,77,10,2,2,4,-,10,-
"S00136162",124,101,4,5,-,3,-,10,1
"S00136163",71,56,5,2,-,-,-,8,-
"S00136164",84,73,4,6,-,-,-,6,-
"S00136165",62,47,8,3,1,-,-,2,-
"S00136166",66,34,9,2,1,1,1,18,-
"S00136167",83,68,6,7,-,1,-,-,-
"S00136168",106,57,13,9,6,3,2,16,-
"S00136169",70,53,5,-,-,-,-,6,-
"S00136170",72,37,3,5,2,-,-,25,-
"S00136171",68,36,5,1,5,1,1,22,-
"S00136172",83,27,13,13,4,-,1,25,-
"S00136173",63,44,4,4,2,3,1,5,-
"S00136174",131,71,20,14,3,5,-,19,-
"S00136175",78,68,6,-,1,1,-,6,-
"S00136176",139,106,13,4,-,-,-,12,-
"S00136177",97,70,7,6,5,1,2,7,1
"S00136178",104,51,7,4,7,-,-,28,2
"S00136179",101,37,17,6,6,3,2,23,-
"S00136180",128,57,13,21,4,7,6,16,-
"S00136181",65,34,4,4,4,7,1,14,-
"S00136182",120,87,10,6,3,-,-,14,2
"S00136183",121,85,7,4,7,-,-,17,1
"S00136184",125,103,8,1,2,2,-,10,-
"S00136185",98,33,8,6,5,1,1,44,4
"S00136186",103,47,12,8,7,-,1,28,-
"S00136187",100,70,6,6,1,-,-,8,-
"S00136188",61,19,2,11,1,3,-,24,-
"S00136189",93,39,12,-,7,-,-,35,-
"S00136190",80,41,2,3,5,3,-,24,-
"S00136191",110,35,7,11,1,4,1,47,1
"S00136192",146,39,16,5,6,6,1,73,-
"S00136193",127,54,13,13,4,3,1,37,2
"S00136194",137,82,12,3,6,4,1,34,-
"S00136195",385,174,30,23,19,18,5,112,8
"S00136196",76,42,13,4,1,4,-,11,2
"S00136197",112,42,11,11,5,10,1,33,-
"S00136198",119,98,8,5,-,2,2,4,-
"S00136199",61,31,8,2,4,1,2,17,2
"S00136200",66,46,6,6,1,-,1,4,-
"S00136201",89,53,11,10,-,2,1,13,-
"S00136202",83,51,6,4,-,2,-,19,-
"S00136203",102,76,4,2,-,-,-,17,-
"S00136204",124,56,19,7,5,5,2,28,2
"S00136205",77,36,5,3,4,1,1,27,-
"S00136206",101,52,10,3,2,6,1,26,1
"S00136207",67,25,2,7,5,2,-,27,-
"S00136208",88,69,5,2,2,3,-,10,-
"S00136209",101,76,11,5,2,-,-,6,-
"S00136210",166,96,38,12,8,2,4,8,-
"S00136211",89,35,8,7,-,2,2,31,-
"S00136212",89,69,6,8,-,1,-,6,-
"S00136213",75,55,3,5,-,3,-,5,4
"S00136214",118,64,7,12,9,1,-,21,-
"S00136215",96,66,8,3,3,-,-,15,-
"S00136216",115,35,8,9,7,4,3,47,1
"S00136217",138,109,15,1,-,6,-,4,-
"S00136218",195,68,17,6,8,5,1,92,1
"S00136219",77,34,10,5,2,4,2,18,1
"S00136220",113,59,5,2,1,-,4,45,4
"S00136221",68,43,7,1,-,3,-,12,2
"S00136222",61,55,1,6,-,-,-,1,-
"S00136223",180,101,35,15,5,2,4,18,1
"S00136224",81,31,7,3,3,1,-,36,1
"S00136225",109,93,6,2,-,-,-,9,-
"S00136226",102,79,5,6,2,-,-,8,-
"S00136227",82,24,11,4,5,4,-,37,-
"S00136228",177,123,35,11,2,2,1,6,-
"S00136229",101,75,6,5,1,1,3,5,1
"S00136230",93,44,15,3,6,4,3,21,1
"S00136231",104,75,6,9,-,3,2,4,3
"S00136232",158,81,29,17,5,2,2,18,4
"S00136233",78,24,5,7,2,-,-,30,1
"S00136234",97,53,21,5,-,2,-,16,-
"S00136235",65,28,15,13,-,-,-,2,2
"S00136236",450,238,29,20,19,19,3,117,5
"S00136237",159,64,20,13,8,2,1,47,1
"S00136238",130,45,18,4,4,-,-,57,2
"S00136239",312,144,27,26,10,14,2,83,3
"S00136240",101,78,6,10,-,2,2,5,-
"S00136241",72,39,9,4,2,-,1,14,2
"S00136242",109,46,13,8,7,3,-,27,1
"S00136243",92,32,15,4,3,4,-,29,1
"S00136244",141,105,18,11,2,1,-,4,-
"S00136245",589,296,39,13,25,23,4,184,7
"S00136246",78,40,3,6,3,1,1,23,1
"S00136247",132,88,9,11,-,3,-,17,3
"S00136248",127,91,13,4,-,-,1,9,4
"S00136249",91,78,1,3,-,-,1,4,-
"S00136250",95,64,18,1,-,-,-,4,2
"S00136251",109,40,11,2,7,2,-,45,2
"S00136252",90,62,6,4,-,2,-,20,-
"S00136253",72,30,5,7,1,7,-,22,-
"S00136254",136,56,20,21,6,1,-,30,2
"S00136255",111,71,17,6,-,2,2,12,1
"S00136256",104,76,10,6,6,2,2,4,-
"S00136257",116,61,9,4,5,2,4,33,-
"S00136258",105,73,9,5,-,-,-,18,-
"S00136259",250,181,25,17,-,3,-,24,-
"S00136260",74,52,7,6,4,1,-,1,-
"S00136261",97,53,2,5,7,-,-,26,1
"S00136262",106,63,20,8,1,-,2,12,-
"S00136263",87,44,6,12,-,-,-,20,-
"S00136264",108,46,15,2,3,-,-,41,1
"S00136265",111,40,25,9,6,-,1,29,1
"S00136266",88,44,17,18,-,3,1,2,-
"S00136267",97,34,10,9,5,6,2,31,-
"S00136268",117,61,13,2,8,1,7,26,1
"S00136269",91,35,8,11,8,2,1,27,-
"S00136270",85,48,6,3,4,2,2,20,1
"S00136271",122,61,26,14,2,1,-,19,1
"S00136272",121,94,7,4,4,3,-,6,-
"S00136273",70,55,3,5,-,-,-,6,1
"S00136274",93,53,15,7,2,-,-,14,-
"S00136275",126,54,17,10,9,4,-,30,-
"S00136276",107,82,4,9,-,-,-,6,4
"S00136277",67,30,6,11,1,2,1,14,-
"S00136278",104,61,16,2,3,2,-,17,1
"S00136279",60,26,8,1,2,2,-,24,-
"S00136280",106,68,16,5,4,5,-,7,-
"S00136281",125,69,16,11,8,-,6,18,-
"S00136282",62,51,1,1,-,1,1,3,-
"S00136283",72,23,7,3,6,1,1,30,-
"S00136284",149,71,24,8,5,1,1,38,1
"S00136285",108,59,16,3,3,4,2,21,-
"S00136286",102,46,15,19,7,3,1,6,-
"S00136287",84,54,5,16,4,-,-,6,-
"S00136288",144,76,11,7,9,1,2,34,4
"S00136289",180,135,14,12,5,6,4,7,4
"S00136290",149,69,25,13,12,6,3,20,-
"S00136291",103,36,11,5,2,-,1,44,-
"S00136292",119,95,3,17,5,2,-,2,-
"S00136293",91,44,9,16,5,4,-,12,-
"S00136294",97,71,10,6,-,-,-,7,-
"S00136295",84,49,12,4,-,2,-,17,-
"S00136296",81,44,3,4,4,1,-,25,-
"S00136297",115,53,14,7,5,4,-,33,6
"S00136298",134,81,12,5,3,-,2,29,-
"S00136299",132,85,14,10,6,4,2,12,-
"S00136300",112,80,9,3,1,3,-,12,-
"S00136301",138,70,15,7,7,4,3,28,1
"S00136302",133,78,19,1,2,8,1,27,-
"S00136303",126,86,12,6,8,4,1,12,4
"S00136304",88,38,4,5,3,1,-,36,1
"S00136305",133,54,13,5,5,-,3,53,-
"S00136306",91,61,4,4,2,4,-,19,-
"S00136307",121,50,20,7,4,6,-,34,1
"S00136308",184,97,31,14,1,3,1,30,-
"S00136309",146,71,42,1,5,4,1,21,-
"S00136310",191,63,28,13,4,5,6,66,6
"S00136311",103,43,39,10,-,1,2,12,-
"S00136312",125,59,33,11,3,5,-,17,1
"S00136313",80,41,13,6,-,-,-,20,-
"S00136314",91,44,16,7,4,3,1,15,-
"S00136315",81,37,10,6,4,2,-,23,-
"S00136316",101,54,5,6,4,-,-,31,1
"S00136317",112,50,24,21,7,-,-,10,-
"S00136318",96,39,24,18,4,-,2,9,-
"S00136319",78,37,14,4,4,3,2,19,-
"S00136320",66,38,7,9,2,-,3,7,-
"S00136321",97,41,22,9,-,1,1,20,-
"S00136322",73,51,2,4,2,1,-,9,-
"S00136323",108,78,14,11,1,4,-,-,-
"S00136324",75,35,3,7,5,-,-,32,-
"S00136325",149,81,25,18,3,6,1,15,2
"S00136326",87,40,9,2,3,2,1,24,2
"S00136327",66,45,7,4,1,-,-,9,-
"S00136328",60,42,6,3,2,3,1,5,-
"S00136329",108,83,6,12,4,1,-,6,-
"S00136330",148,73,11,10,3,4,3,44,2
"S00136331",75,46,11,5,1,1,-,9,-
"S00136332",101,76,5,6,3,1,-,6,-
"S00136333",414,194,31,20,12,14,5,139,4
"S00136334",117,59,12,4,4,3,2,31,-
"S00136335",85,18,17,12,2,1,-,33,2
"S00136336",110,74,10,1,-,4,-,20,-
"S00136337",128,86,17,13,-,2,-,13,-
"S00136338",97,41,6,6,6,2,2,33,2
"S00136339",106,66,7,6,3,1,3,20,-
"S00136340",86,43,23,6,4,2,4,6,-
"S00136341",63,29,2,2,1,2,-,25,-
"S00136342",74,25,6,4,8,-,-,32,-
"S00136343",112,59,17,8,-,2,-,24,-
"S00136344",64,28,15,1,4,2,2,12,-
"S00136345",115,59,20,4,4,2,-,18,3
"S00136346",89,51,13,9,3,2,1,7,-
"S00136347",70,50,2,2,4,1,-,10,-
"S00136348",121,84,7,7,5,1,4,14,-
"S00136349",103,47,20,5,2,2,5,28,-
"S00136350",88,57,5,3,4,-,-,17,1
"S00136351",114,39,24,19,4,6,7,14,-
"S00136352",65,45,7,8,2,-,-,5,-
"S00136353",130,94,16,4,4,2,2,9,-
"S00136354",83,68,9,1,-,1,-,-,1
"S00136355",102,44,16,1,1,2,4,36,-
"S00136356",61,25,6,3,3,5,3,16,-
"S00136357",99,66,15,-,-,1,-,10,1
"S00136358",132,61,13,9,16,2,-,29,2
"S00136359",85,49,9,8,1,-,-,17,1
"S00136360",84,50,6,1,5,1,1,19,2
"S00136361",73,25,14,5,1,-,-,28,-
"S00136362",127,50,7,14,1,-,2,49,3
"S00136363",88,46,13,8,4,1,4,10,-
"S00136364",79,29,17,8,1,2,5,16,1
"S00136365",161,125,4,3,8,-,-,20,-
"S00136366",126,93,5,6,4,2,3,13,-
"S00136367",90,35,16,19,3,1,2,14,2
"S00136368",80,44,9,14,4,1,3,4,1
"S00136369",129,94,2,4,7,3,1,16,2
"S00136370",162,52,15,12,8,2,-,73,2
"S00136371",76,36,13,7,3,1,-,10,1
"S00136372",122,83,16,9,-,-,-,14,-
"S00136373",118,57,13,5,7,-,3,33,-
"S00136374",160,111,22,11,3,-,-,12,-
"S00136375",148,92,13,11,4,2,1,24,-
"S00136376",112,52,23,18,5,6,3,7,-
"S00136377",74,36,11,3,2,1,-,19,1
"S00136378",94,37,20,4,5,7,2,24,-
"S00136379",97,35,7,1,3,-,-,51,-
"S00136380",116,84,8,12,4,-,1,7,1
"S00136381",74,36,4,2,9,1,1,20,2
"S00136382",124,55,26,23,5,1,1,13,-
"S00136383",106,51,32,19,-,-,1,2,-
"S00136384",79,57,6,4,-,-,-,8,-
"S00136385",110,61,11,9,3,-,-,24,2
"S00136386",85,59,7,8,1,-,3,6,-
"S00136387",131,72,11,5,6,2,2,21,5
"S00136388",84,38,15,3,-,6,2,13,-
"S00136389",152,70,39,23,1,3,-,17,-
"S00136390",94,53,9,3,-,2,5,18,1
"S00136391",91,63,5,9,-,-,-,10,-
"S00136392",74,40,6,9,2,2,-,9,4
"S00136393",67,58,2,2,-,-,1,5,-
"S00136394",76,65,4,4,2,-,-,6,-
"S00136395",191,96,41,15,7,-,2,28,1
"S00136396",65,39,3,9,-,3,-,15,-
"S00136397",141,88,20,13,6,2,4,5,4
"S00136398",78,36,13,9,1,2,2,13,1
"S00136399",67,43,12,2,2,1,-,7,-
"S00136400",77,37,21,6,7,-,2,-,3
"S00136401",93,43,14,8,-,1,-,25,1
"S00136402",113,63,36,4,-,-,-,6,-
"S00136403",135,63,36,6,11,1,-,20,1
"S00136404",77,41,9,8,-,1,1,15,1
"S00136405",105,52,8,-,3,5,3,35,-
"S00136406",84,25,8,9,12,3,-,24,4
"S00136407",96,48,12,12,2,2,-,17,-
"S00136408",177,72,14,27,11,3,-,50,2
"S00136409",112,78,15,5,1,-,-,13,-
"S00136410",160,106,21,15,1,-,1,15,-
"S00136411",74,35,8,4,4,-,-,23,1
"S00136412",65,31,3,6,2,2,3,14,1
"S00136413",72,33,7,2,-,2,3,21,-
"S00136414",121,81,14,15,3,2,-,7,-
"S00136415",95,50,11,12,4,-,1,15,1
"S00136416",145,53,31,35,6,1,4,11,3
"S00136417",90,28,15,19,7,2,1,16,4
"S00136418",91,42,10,11,2,-,2,20,2
"S00136419",121,68,11,15,3,1,-,18,-
"S00136420",89,45,24,12,2,-,2,4,1
"S00136421",62,36,7,5,-,1,2,11,5
"S00136422",165,82,30,9,4,4,5,29,1
"S00136423",107,59,17,14,9,-,-,8,-
"S00136424",129,60,11,18,-,5,1,35,1
"S00136425",103,51,15,4,5,-,3,27,-
"S00136426",78,32,12,5,3,3,-,24,-
"S00136427",94,41,11,12,3,-,5,26,-
"S00136428",112,74,11,5,4,-,2,17,-
"S00136429",143,69,32,22,2,2,1,20,1
"S00136430",80,42,11,4,2,2,-,18,1
"S00136431",159,79,34,29,3,4,3,3,-
"S00136432",110,50,9,9,2,3,2,32,-
"S00136433",113,74,17,13,5,1,-,1,-
"S00136434",65,29,3,7,2,-,-,20,1
"S00136435",77,44,12,2,-,2,-,17,-
"S00136436",115,49,10,6,7,1,1,39,1
"S00136437",184,51,40,19,15,5,4,44,4
"S00136438",135,56,14,5,6,2,-,52,2
"S00136439",159,100,6,8,5,3,3,32,2
"S00136440",76,30,13,8,-,-,3,19,3
"S00136441",96,51,21,6,4,1,1,9,-
"S00136442",86,44,20,3,5,-,-,21,-
"S00136443",75,48,9,2,-,2,-,12,-
"S00136444",90,57,15,3,4,4,-,8,-
"S00136445",103,53,8,8,8,2,2,26,-
"S00136446",121,67,27,15,1,-,3,8,-
"S00136447",96,49,8,7,4,6,-,22,-
"S00136448",62,45,6,6,-,-,-,4,-
"S00136449",117,65,16,11,6,2,-,16,-
"S00136450",73,50,15,1,2,2,-,3,-
"S00136451",108,50,15,21,-,4,1,15,1
"S00136452",95,63,6,5,2,-,-,17,-
"S00136453",96,56,10,13,1,-,-,12,-
"S00136454",64,31,6,1,3,2,1,20,-
"S00136455",117,41,31,30,4,3,1,6,-
"S00136456",102,50,36,9,2,1,2,-,1
"S00136457",96,44,4,1,2,3,1,40,-
"S00136458",112,64,19,7,-,5,4,12,2
"S00136459",63,23,7,7,1,1,-,24,-
"S00136460",90,31,16,5,2,2,2,25,5
"S00136461",169,58,57,30,6,8,2,11,-
"S00136462",86,42,16,11,4,-,-,12,1
